gcc,count
2GMEL,2286891
1GSYD,2218396
3GBRI,859994
3RQLD,606938
5GPER,589322
1RNSW,519371
4GADE,465908
2RVIC,412393
8ACTE,202646
6GHOB,90816
5RWAU,79657
4RSAU,61618
6RTAS,47935
7GDAR,46357
7RNTE,26820
9OTER,182
