gccsa_code_2021, p_tot_not_married, p_tot_total
"1GSYD",1674575,3947759
"1RNSW",857965,2069770
"2GMEL",1582170,3721666
"2RVIC",472731,1156437
"3GBRI",789122,1870018
"3RQLD",767383,1867231
"4GADE",459247,1059061
"4RSAU",112032,283015
"5GPER",632126,1548581
"5RWAU",134151,347482
"6GHOB",81636,186383
"6RTAS",94060,229826
"7GDAR",39987,94611
"7RNTE",27626,56539
"8ACTE",137415,337567
"9OTER",1088,2854
