content,created_at,hashtags,language
"<p><a href=""https://aus.social/tags/couchpeloton"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>couchpeloton</span></a> Tom Skuins for <a href=""https://aus.social/tags/trolltips"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>trolltips</span></a> please <span class=""h-card""><a href=""https://ohai.social/@markrprior"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>markrprior</span></a></span></p>",2023-05-09 12:52:21+00:00,"['couchpeloton', 'trolltips']",en
<p>Hi all !!! 😀</p>,2023-05-09 12:52:22+00:00,[],en
"<p>Fusionsbrötchen, Kerntaste oder was die FDP auch immer will.</p>",2023-05-09 12:21:45+00:00,[],de
"<p>10 Useful Japanese Internet Slang Terms You Should Know - Unseen Japan<br> <a href=""https://unseenjapan.com/10-useful-japanese-internet-slang-terms-you-should-know/"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">unseenjapan.com/10-useful-japa</span><span class=""invisible"">nese-internet-slang-terms-you-should-know/</span></a></p><p>&gt;For Japanese learners, online Japanese can be befuddling. Here's a guide to the terms you likely won't learn from your textbooks.</p><p><a href=""https://mstdn.jp/tags/Japanese"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Japanese</span></a> <a href=""https://mstdn.jp/tags/English"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>English</span></a> <a href=""https://mstdn.jp/tags/%E6%97%A5%E6%9C%AC%E8%AA%9E"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>日本語</span></a> <a href=""https://mstdn.jp/tags/%E8%8B%B1%E8%AA%9E"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>英語</span></a> <a href=""https://mstdn.jp/tags/LearningEnglish"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>LearningEnglish</span></a>&nbsp;&nbsp;<br><a href=""https://mstdn.jp/tags/LearningJapanese"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>LearningJapanese</span></a> <a href=""https://mstdn.jp/tags/%E6%97%A5%E6%9C%AC%E8%AA%9E%E3%81%AE%E5%8B%89%E5%BC%B7"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>日本語の勉強</span></a> <a href=""https://mstdn.jp/tags/%E8%8B%B1%E8%AA%9E%E3%81%AE%E5%8B%89%E5%BC%B7"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>英語の勉強</span></a> <a href=""https://mstdn.jp/tags/Japan"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Japan</span></a> <a href=""https://mstdn.jp/tags/JapaneseCulture"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>JapaneseCulture</span></a></p>",2023-05-09 12:52:29+00:00,"['japaneseculture', 'japan', '英語の勉強', '日本語の勉強', 'learningjapanese', 'learningenglish', '英語', '日本語', 'english', 'japanese']",en
"<p>I just used (invented?) the term ""presentee slacking"" to describe the concept of someone who always seems to be busy, but also always busy doing the least useful work available in the most inefficient way possible.</p>",2023-05-09 10:56:41+00:00,[],en
"<p>Next week is the mid-term break after a two week break because of stacked public holidays (and we exhausted academics took advantage of that to maximize our annual leave), so I have a bit more extra time to write a new grant proposal and work on those articles. Week after next, I'm teaching them short stories by Ursula K Le Guin and Ted Chiang. Quite excited about it! Then, three weeks of Hamlet -- VERY excited about teaching Hamlet again.</p>",2023-05-09 12:52:29+00:00,[],en
"<p>Nyaris satu tahun berlalu namun interval act satu ini memang benar-benar mantap! 👍</p><p><a href=""https://www.youtube.com/watch?v=A410y4a0oWU&amp;t=5"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">youtube.com/watch?v=A410y4a0oW</span><span class=""invisible"">U&amp;t=5</span></a></p>",2023-05-09 10:44:45+00:00,[],id
"<p>Seandainya Italia bawa lagu ini di kompetisi tahun lalu, mantap tuh crowd benar-benar bisa ikutan nyanyi menambah kesyahduan ~</p><p><a href=""https://twitter.com/SamueleFabbri5/status/1655691116136521728"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">twitter.com/SamueleFabbri5/sta</span><span class=""invisible"">tus/1655691116136521728</span></a></p>",2023-05-09 10:45:11+00:00,[],id
"<p>I'll also say again, Logitech Media Server and Squeezelite are the killer audio streaming stack. Seriously under appreciated. It should be eating Roon's lunch. And probably Sonos's lunch too.</p>",2023-05-09 12:52:33+00:00,[],en
"<p>""Most people write to sound smart when they should write to be useful.... Writing to be useful means writing what you would want to read."" —C.F. Braun</p><p>Braun's further advice on communicating (from 100+ yrs ago 😮) includes:</p><p>* assume others' good motives<br>* overtly show your respect for others<br>* when you give assent, do it cheerfully<br>* don't be eager to tell others they're wrong</p><p>More in the blog post: <a href=""https://fs.blog/carl-braun-communicating/"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">fs.blog/carl-braun-communicati</span><span class=""invisible"">ng/</span></a> <br><a href=""https://mastodon.world/tags/Communication"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Communication</span></a> <a href=""https://mastodon.world/tags/PlainLanguage"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>PlainLanguage</span></a> <a href=""https://mastodon.world/tags/AmLearning"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AmLearning</span></a></p>",2023-05-09 12:50:04+00:00,"['communication', 'plainlanguage', 'amlearning']",en
"<p>MyGlobalMind 🤘 Powerwolf – Interludium Review: The band has been putting out quite a few compilations and collaborative-type releases over the past few years, and that trend continues with Interludium, which has a little bit of everything for hardcore fans of the band, including a few entirely new tracks, some rare releases and b-sides, a disc full of covers from other bands, and a set of the orchestral version of the… <a href=""http://dlvr.it/SnmG29"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmG29</span><span class=""invisible""></span></a> 👀 Bio Link 4 More 🤘 <a href=""https://universeodon.com/tags/Metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Metal</span></a> <a href=""https://universeodon.com/tags/HeavyMetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HeavyMetal</span></a> <a href=""https://universeodon.com/tags/MyGlobalMind"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MyGlobalMind</span></a></p>",2023-05-09 12:52:34+00:00,"['metal', 'heavymetal', 'myglobalmind']",en
"<p>illustration for the day</p><p><a href=""https://mastodon.art/tags/illustration"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>illustration</span></a> <a href=""https://mastodon.art/tags/sketch"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>sketch</span></a> <a href=""https://mastodon.art/tags/location"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>location</span></a> <a href=""https://mastodon.art/tags/MastoArt"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MastoArt</span></a> <a href=""https://mastodon.art/tags/consent"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>consent</span></a> <a href=""https://mastodon.art/tags/conceptart"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>conceptart</span></a> <a href=""https://mastodon.art/tags/DigitalArt"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>DigitalArt</span></a></p>",2023-05-09 12:52:34+00:00,"['digitalart', 'conceptart', 'consent', 'mastoart', 'location', 'sketch', 'illustration']",ru
"<p>MyGlobalMind 🤘 Enforced – War Remains Review: If you’re looking for subtle and polished look elsewhere. This is nasty dirty beer-soaked sweat-stained, thrash metal to mosh and fight to. It has two fingers raised high for anyone who doesn’t like it. Me, I love this. Gimme more! <a href=""http://dlvr.it/SnmG3t"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">dlvr.it/SnmG3t</span><span class=""invisible""></span></a> 👀 Bio Link 4 More 🤘 <a href=""https://universeodon.com/tags/Metal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Metal</span></a> <a href=""https://universeodon.com/tags/HeavyMetal"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>HeavyMetal</span></a> <a href=""https://universeodon.com/tags/MyGlobalMind"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>MyGlobalMind</span></a></p>",2023-05-09 12:52:36+00:00,"['metal', 'heavymetal', 'myglobalmind']",en
"<p>Tory voters abandoning party because they’re ‘just doing a bad job’, poll finds</p><p>Survey detects little enthusiasm for Labour among people who previously backed Tories </p><p><a href=""https://www.independent.co.uk/news/uk/politics/tories-polls-labour-election-results-b2335448.html"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">independent.co.uk/news/uk/poli</span><span class=""invisible"">tics/tories-polls-labour-election-results-b2335448.html</span></a></p><p><a href=""https://mastodon.scot/tags/Toryfailure"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Toryfailure</span></a> <a href=""https://mastodon.scot/tags/politics"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>politics</span></a></p>",2023-05-09 12:52:42+00:00,"['politics', 'toryfailure']",en
"<p>► <a href=""https://FunHouseRadio.com"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">FunHouseRadio.com</span><span class=""invisible""></span></a> ← LISTEN<br><a href=""https://mastodon.world/tags/meme"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>meme</span></a> <a href=""https://mastodon.world/tags/spiderman"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>spiderman</span></a> <a href=""https://mastodon.world/tags/spidey"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>spidey</span></a> <a href=""https://mastodon.world/tags/cartoon"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>cartoon</span></a> <a href=""https://mastodon.world/tags/comics"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>comics</span></a> <a href=""https://mastodon.world/tags/working"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>working</span></a> <a href=""https://mastodon.world/tags/worklife"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>worklife</span></a> <a href=""https://mastodon.world/tags/lies"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>lies</span></a> <a href=""https://mastodon.world/tags/liars"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>liars</span></a> <a href=""https://mastodon.world/tags/resume"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>resume</span></a> <a href=""https://mastodon.world/tags/LOL"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>LOL</span></a> <a href=""https://mastodon.world/tags/relatable"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>relatable</span></a> <a href=""https://mastodon.world/tags/office"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>office</span></a> <a href=""https://mastodon.world/tags/truth"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>truth</span></a> <a href=""https://mastodon.world/tags/IRL"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>IRL</span></a> <a href=""https://mastodon.world/tags/satire"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>satire</span></a></p>",2023-05-09 12:52:39+00:00,"['meme', 'spiderman', 'spidey', 'cartoon', 'comics', 'working', 'worklife', 'lies', 'liars', 'resume', 'lol', 'relatable', 'office', 'truth', 'irl', 'satire']",en
"<p>Iraq 🇮🇶 COVID-19 current stats for Tue May 09 2023</p><p>Cases: 2,465,545<br>Deaths: 25,375<br>Recovered: 2,439,497<br>Active: 673<br>Tests: 19,544,451<br>Doses: 19,557,364</p><p><a href=""https://mastodon.cloud/tags/covid_iq"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>covid_iq</span></a><br><a href=""https://covid.yanoagenda.com/countries/IQ"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">covid.yanoagenda.com/countries</span><span class=""invisible"">/IQ</span></a></p>",2023-05-09 12:52:42+00:00,['covid_iq'],en
,2023-05-09 12:52:41+00:00,[],en
